Member_name,verb_type,Calss ID
allow,Admit Verbs,admit-64.3
let,Admit Verbs,admit-64.3
hail,Admit Verbs,admit-64.3
assume,Adopt Verbs,adopt-93.1
adopt,Adopt Verbs,adopt-93.1
take,Adopt Verbs,adopt-93.1
take_on,Adopt Verbs,adopt-93.1
alert,Verbs of Communication,advise-37.9
assure,Verbs of Communication,advise-37.9
brief,Verbs of Communication,advise-37.9
educate,Verbs of Communication,advise-37.9
encourage,Verbs of Communication,advise-37.9
notify,Verbs of Communication,advise-37.9
approve,Allow Verbs,allow-64.1
authorize,Allow Verbs,allow-64.1
endorse,Allow Verbs,allow-64.1
okay,Allow Verbs,allow-64.1
sanction,Allow Verbs,allow-64.1
tolerate,Allow Verbs,allow-64.1
intermarry,Verbs of Combining and Attaching,amalgamate-22.2
abash,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
affect,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
afflict,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
affront,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
aggravate,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
aggrieve,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
agitate,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
agonize,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
alarm,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
alienate,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
amaze,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
amuse,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
anger,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
annoy,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
antagonize,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
appall,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
appease,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
